0,1
133,98
65,133
139,99
81,119
129,114
89,138
83,131
67,75
137,139
137,81
124,69
108,107
110,88
68,66
73,119
121,107
78,121
113,90
99,74
99,102
88,127
74,69
89,87
64,71
127,112
96,85
114,128
108,62
99,117
121,64
70,97
72,117
116,83
122,105
105,119
70,135
60,106
110,65
127,119
81,123
102,107
111,81
115,101
74,118
128,115
60,90
121,119
78,101
118,138
60,67
133,102
94,110
109,66
125,69
85,91
92,126
61,77
132,140
65,63
111,119
71,79
112,86
81,74
120,125
70,81
108,113
126,114
82,129
86,67
89,122
90,121
85,68
131,94
98,130
77,76
61,101
126,111
84,68
138,89
120,112
102,109
139,96
94,121
93,107
60,131
66,117
136,109
82,89
105,65
78,82
70,89
87,72
122,96
73,134
121,70
126,76
112,61
118,120
77,117
121,138
116,95
128,139
127,102
93,77
63,124
115,91
140,103
69,63
134,137
69,85
127,78
124,130
74,139
106,131
124,60
71,61
98,135
129,103
105,112
94,95
115,139
75,77
66,120
76,107
79,111
140,123
107,75
100,112
112,108
132,88
132,63
72,106
96,93
140,129
97,111
103,93
83,64
100,131
132,99
119,83
126,68
74,107
127,90
130,123
121,60
79,82
110,130
85,95
67,123
104,61
138,136
120,137
101,61
95,72
101,106
94,72
89,68
89,131
81,95
84,110
120,140
78,63
139,67
97,129
119,138
72,127
74,82
78,80
93,72
136,78
84,74
72,69
123,129
109,62
69,126
78,121
79,131
112,71
109,61
90,77
88,92
133,91
118,85
69,70
89,69
83,120
116,68
111,136
73,114
118,78
71,116
134,92
67,115
132,96
126,68
121,136
115,117
130,115
122,120
92,107
66,71
106,69
94,91
101,83
133,121
115,87
125,64
113,139
119,101
99,103
128,111
83,117
93,116
120,117
93,95
74,98
63,107
101,140
128,63
112,137
74,82
107,138
117,64
139,65
107,73
61,87
84,110
66,130
124,99
119,103
77,140
68,106
63,117
87,68
106,70
105,103
99,117
108,128
83,111
85,97
124,67
78,70
64,62
85,74
91,64
125,134
140,93
67,125
66,114
70,81
94,66
85,73
117,94
85,88
125,90
126,106
77,98
91,106
69,67
70,115
72,129
65,133
137,71
84,121
95,122
80,111
96,74
95,108
75,100
84,98
100,111
96,65
114,111
133,80
137,70
125,135
113,129
98,130
139,80
86,91
63,61
72,86
92,94
82,103
73,123
131,124
60,129
85,119
88,118
79,76
61,86
70,93
119,112
122,117
76,60
114,65
66,131
83,66
89,103
97,75
85,174
47,196
31,173
46,185
122,183
186,197
93,165
3,174
27,165
123,176
164,182
91,194
166,175
85,179
115,175
144,168
51,188
130,197
162,184
121,174
188,187
12,180
34,166
100,170
137,183
16,176
35,189
73,194
152,197
17,191
124,166
178,169
116,170
25,179
23,174
96,190
28,197
164,195
3,181
162,184
101,183
59,165
18,187
180,171
182,187
68,170
157,183
36,196
72,185
29,182
190,197
182,196
175,166
75,192
73,181
154,167
119,178
74,187
83,200
160,195
93,180
151,199
142,196
147,173
60,189
153,169
119,188
100,167
67,182
4,181
169,181
99,173
116,198
121,190
172,191
153,200
126,173
133,193
50,165
68,168
148,192
176,188
141,174
59,172
50,184
101,196
66,190
50,178
158,168
180,199
10,168
87,178
144,177
132,165
127,167
104,183
161,181
161,195
95,167
165,178
21,194
136,167
47,192
123,196
105,199
87,169
178,196
116,174
102,195
62,165
167,175
154,165
171,192
16,192
26,181
93,196
125,194
71,194
0,184
175,183
121,196
123,174
15,198
115,173
170,180
38,174
38,166
15,168
24,183
103,174
118,178
2,174
97,197
83,187
171,178
136,173
32,200
48,169
196,194
19,185
98,177
20,168
63,168
147,168
129,195
102,183
80,174
106,187
62,177
39,196
164,187
190,165
135,195
188,200
132,195
22,190
47,192
113,171
44,171
62,173
82,167
117,195
196,169
85,180
179,193
20,167
196,170
200,171
50,184
169,186
44,178
11,165
48,172
114,198
139,193
196,199
160,188
45,197
3,199
160,171
134,196
93,191
197,177
191,188
38,188
106,174
76,169
67,192
130,178
116,176
187,174
199,181
43,193
179,197
41,174
2,190
90,167
133,168
162,174
83,194
152,37
39,22
55,2
200,13
85,4
148,39
87,1
99,20
7,27
74,14
31,38
110,17
77,36
102,18
153,4
65,15
44,33
16,32
111,14
144,34
96,28
83,13
28,7
105,19
152,22
57,29
124,18
17,1
42,12
168,15
151,32
27,22
29,25
33,7
135,22
0,33
199,14
179,14
158,9
61,32
82,29
191,27
182,4
166,14
146,12
79,21
155,39
43,19
191,20
19,39
98,7
133,6
8,3
82,4
116,9
152,13
44,34
76,16
125,29
21,18
100,31
193,18
137,6
95,39
134,0
68,35
13,12
101,18
89,22
73,39
9,1
53,11
110,24
124,5
115,19
42,2
174,31
139,34
45,6
59,17
1,33
132,36
154,28
64,19
173,18
169,29
35,34
146,10
4,15
61,4
198,40
93,8
29,31
